start X	start Y	end X	end Y	Z	NORM X	NORM Y
0.055	3.023	0.755	3.023	1.400	0.000	-1.000
0.865	3.023	1.565	3.023	1.400	0.000	-1.000
1.648	2.975	1.997	2.369	1.400	-0.866	-0.500
2.053	2.274	2.402	1.668	1.400	-0.866	-0.500
2.430	1.565	2.430	0.865	1.400	-1.000	0.000
2.430	0.755	2.430	0.055	1.400	-1.000	0.000
2.430	-0.055	2.430	-0.755	1.400	-1.000	0.000
2.430	-0.865	2.430	-1.565	1.400	-1.000	0.000
2.402	-1.668	2.053	-2.274	1.400	-0.866	0.500
1.998	-2.369	1.648	-2.975	1.400	-0.866	0.500
1.565	-3.023	0.865	-3.023	1.400	0.000	1.000
0.755	-3.023	0.055	-3.023	1.400	0.000	1.000
-0.055	-3.023	-0.755	-3.023	1.400	0.000	1.000
-0.865	-3.023	-1.565	-3.023	1.400	0.000	1.000
-1.648	-2.975	-1.997	-2.369	1.400	0.866	0.500
-2.053	-2.274	-2.402	-1.668	1.400	0.866	0.500
-2.430	-1.565	-2.430	-0.865	1.400	1.000	0.000
-2.430	-0.755	-2.430	-0.055	1.400	1.000	0.000
-2.430	0.055	-2.430	0.755	1.400	1.000	0.000
-2.430	0.865	-2.430	1.565	1.400	1.000	0.000
-2.402	1.668	-2.053	2.274	1.400	0.866	-0.500
-1.998	2.369	-1.648	2.975	1.400	0.866	-0.500
-1.565	3.023	-0.865	3.023	1.400	0.000	-1.000
-0.755	3.023	-0.055	3.023	1.400	0.000	-1.000
