start X	start Y	end X	end Y	Z	NORM X	NORM Y
0.455	3.423	1.155	3.423	1.400	0.000	-1.000
1.265	3.423	1.965	3.423	1.400	0.000	-1.000
2.048	3.375	2.397	2.769	1.400	-0.866	-0.500
2.453	2.674	2.802	2.068	1.400	-0.866	-0.500
2.830	1.965	2.830	1.265	1.400	-1.000	0.000
2.830	1.155	2.830	0.455	1.400	-1.000	0.000
2.830	0.345	2.830	-0.355	1.400	-1.000	0.000
2.830	-0.465	2.830	-1.165	1.400	-1.000	0.000
2.802	-1.268	2.453	-1.874	1.400	-0.866	0.500
2.398	-1.969	2.048	-2.575	1.400	-0.866	0.500
1.965	-2.623	1.265	-2.623	1.400	0.000	1.000
1.155	-2.623	0.455	-2.623	1.400	0.000	1.000
0.345	-2.623	-0.355	-2.623	1.400	0.000	1.000
-0.465	-2.623	-1.165	-2.623	1.400	0.000	1.000
-1.248	-2.575	-1.597	-1.969	1.400	0.866	0.500
-1.653	-1.874	-2.002	-1.268	1.400	0.866	0.500
-2.030	-1.165	-2.030	-0.465	1.400	1.000	0.000
-2.030	-0.355	-2.030	0.345	1.400	1.000	0.000
-2.030	0.455	-2.030	1.155	1.400	1.000	0.000
-2.030	1.265	-2.030	1.965	1.400	1.000	0.000
-2.002	2.068	-1.653	2.674	1.400	0.866	-0.500
-1.598	2.769	-1.248	3.375	1.400	0.866	-0.500
-1.165	3.423	-0.465	3.423	1.400	0.000	-1.000
-0.355	3.423	0.345	3.423	1.400	0.000	-1.000
