x_start [m]	y_start [m]	x_end [m]	y_end [m]	z [m]	NORM x	NORM y
-5.998	2.137	-5.433	2.550	2.014	0.590	-0.808
-5.337	2.614	-4.739	2.978	2.014	0.520	-0.854
-4.638	3.034	-4.011	3.346	2.014	0.446	-0.895
-3.906	3.393	-3.256	3.652	2.014	0.370	-0.929
-3.147	3.690	-2.477	3.893	2.014	0.290	-0.957
-2.365	3.922	-1.680	4.068	2.014	0.209	-0.978
-1.567	4.087	-0.872	4.175	2.014	0.126	-0.992
-0.757	4.185	-0.058	4.215	2.014	0.042	-0.999
0.058	4.215	0.757	4.185	2.014	-0.042	-0.999
0.872	4.175	1.567	4.087	2.014	-0.126	-0.992
1.680	4.068	2.365	3.922	2.014	-0.209	-0.978
2.477	3.893	3.147	3.690	2.014	-0.290	-0.957
3.256	3.652	3.906	3.393	2.014	-0.370	-0.929
4.011	3.346	4.638	3.034	2.014	-0.446	-0.895
4.739	2.978	5.337	2.614	2.014	-0.520	-0.854
5.433	2.550	5.998	2.137	2.014	-0.590	-0.808
5.998	-2.137	5.433	-2.550	2.014	-0.590	0.808
5.337	-2.614	4.739	-2.978	2.014	-0.520	0.854
4.638	-3.034	4.011	-3.346	2.014	-0.446	0.895
3.906	-3.393	3.256	-3.652	2.014	-0.370	0.929
3.147	-3.690	2.477	-3.893	2.014	-0.290	0.957
2.365	-3.922	1.680	-4.068	2.014	-0.209	0.978
1.567	-4.087	0.872	-4.175	2.014	-0.126	0.992
0.757	-4.185	0.058	-4.215	2.014	-0.042	0.999
-0.058	-4.215	-0.757	-4.185	2.014	0.042	0.999
-0.872	-4.175	-1.567	-4.087	2.014	0.126	0.992
-1.680	-4.068	-2.365	-3.922	2.014	0.209	0.978
-2.477	-3.893	-3.147	-3.690	2.014	0.290	0.957
-3.256	-3.652	-3.906	-3.393	2.014	0.370	0.929
-4.011	-3.346	-4.638	-3.034	2.014	0.446	0.895
-4.739	-2.978	-5.337	-2.614	2.014	0.520	0.854
-5.433	-2.550	-5.998	-2.137	2.014	0.590	0.808
