Point	x	y
1	-6.051	2.112
2	-5.392	2.593
3	-4.695	3.018
4	-3.964	3.382
5	-3.205	3.684
6	-2.424	3.921
7	-1.625	4.091
8	-0.816	4.194
9	0.000	4.228
10	0.816	4.194
11	1.626	4.091
12	2.424	3.921
13	3.206	3.684
14	3.964	3.382
15	4.695	3.017
16	5.392	2.593
17	6.054	2.107
18	6.051	-2.112
19	5.392	-2.593
20	4.695	-3.018
21	3.964	-3.382
22	3.205	-3.684
23	2.424	-3.921
24	1.625	-4.091
25	0.816	-4.194
26	0.000	-4.228
27	-0.816	-4.194
28	-1.626	-4.091
29	-2.424	-3.921
30	-3.206	-3.684
31	-3.964	-3.382
32	-4.695	-3.017
33	-5.392	-2.593
34	-6.054	-2.107
