x_start [m]	x_end [m]	y_start [m]	y_end [m]	z [m]
-6.079	-5.352	2.078	2.609	2.014
-5.422	-4.653	2.562	3.030	2.014
-4.727	-3.922	2.989	3.391	2.014
-3.999	-3.163	3.356	3.689	2.014
-3.242	-2.381	3.661	3.922	2.014
-2.463	-1.583	3.901	4.089	2.014
-1.666	-0.773	4.075	4.188	2.014
-0.857	0.042	4.181	4.219	2.014
-0.042	0.857	4.219	4.181	2.014
0.773	1.666	4.188	4.075	2.014
1.583	2.463	4.089	3.901	2.014
2.381	3.242	3.922	3.661	2.014
3.163	3.999	3.689	3.356	2.014
3.922	4.727	3.391	2.989	2.014
4.653	5.422	3.030	2.562	2.014
5.352	6.079	2.609	2.078	2.014
6.079	5.352	-2.078	-2.609	2.014
5.422	4.653	-2.562	-3.030	2.014
4.727	3.922	-2.989	-3.391	2.014
3.999	3.163	-3.356	-3.689	2.014
3.242	2.381	-3.661	-3.922	2.014
2.463	1.583	-3.901	-4.089	2.014
1.666	0.773	-4.075	-4.188	2.014
0.857	-0.042	-4.181	-4.219	2.014
0.042	-0.857	-4.219	-4.181	2.014
-0.773	-1.666	-4.188	-4.075	2.014
-1.583	-2.463	-4.089	-3.901	2.014
-2.381	-3.242	-3.922	-3.661	2.014
-3.163	-3.999	-3.689	-3.356	2.014
-3.922	-4.727	-3.391	-2.989	2.014
-4.653	-5.422	-3.030	-2.562	2.014
-5.352	-6.079	-2.609	-2.078	2.014
